Código;Descrição;Unidade;Valor unitário;Favorita
5000000658;INST COND ISOL BT <= 1X25MM² POST MET LM;UN;4,5;
5000000658;RET COND ISOL BT <= 1X25MM² POST MET LM;UN;1,4;
5000000658;INST COND ISOL BT <= 2X25MM² POST MET LM;UN;5,24;
5000000658;RET COND ISOL BT <= 2X25MM² POST MET LM;UN;1,5;
5000000658;INST EMENDA COND MULTIPLEXADO LM;UN;161,22;
5000000658;TENSIONAR COND MULTIPLEXADO LM;UN;560,14;
5000000658;INST ESTR PRI RDC PASSANTE SIMPLES LM;UN;726,53;
5000000658;RET ESTR PRI RDC PASSANTE SIMPLES LM;UN;421,86;
5000000658;INST ESTR PRI RDC ANCORAGEM SIMPLES LM;UN;894,57;
5000000658;RET ESTR PRI RDC ANCORAGEM SIMPLES LM;UN;601,04;
5000000658;INST ESTR PRI RDC ANCORAGEM DUPLA LM;UN;1105,67;
5000000658;RET ESTR PRI RDC ANCORAGEM DUPLA LM;UN;682,37;
5000000658;INST ESTR PRI RDC N3S-CE LM;UN;1373,64;
5000000658;RET ESTR PRI RDC N3S-CE LM;UN;790,7;
5000000658;INST ESTR PRI RDC N3S-CE-PR LM;UN;1610,29;
5000000658;RET ESTR PRI RDC N3S-CE-PR LM;UN;837,38;
5000000658;INST ESTR PRI RDC DN-CE LM;UN;1259,27;
5000000658;RET ESTR PRI RDC DN-CE LM;UN;723,99;
5000000658;INST ESTR PRI RDC CE-DS/TS LM;UN;2016,76;
5000000658;RET ESTR PRI RDC CE-DS/TS LM;UN;1266,25;
5000000658;INST ESTR PRI RDC NS/BS (PR, CF, SU) LM;UN;869,64;
5000000658;RET ESTR PRI RDC NS/BS (PR, CF, SU) LM;UN;664,27;
5000000658;INST CABO MENSAGEIRO RDC LM;UN;9,78;
5000000658;RET CABO MENSAGEIRO RDC LM;UN;1,89;
5000000658;TENSIONAR COND MESAGEIRO RDC LM;UN;457,58;
5000000658;TENSIONAR COND PROTEGIDO RDC LM;UN;457,58;
5000000658;INST ESPACADOR LOSANGULAR RDC LM;UN;68,43;
5000000658;RET ESPACADOR LOSANGULAR RDC LM;UN;51,31;
5000000658;INST CONEX OU EMENDA DE CABO RDC LM;UN;161,22;
5000000658;INST DEFENSA CONC POSTE RETANG LM;UN;976,99;
5000000658;INST DEFENSA CONC MANILHA INT 120CM LM;UN;1174,62;
5000000658;INST DEFENSA CONC MANILH BIPART 120CM LM;UN;1174,62;
5000000658;INST DEFENSA MET TIPO GUARD RAIL RD;UN;3403,75;
5000000658;INST CONJ MEDICAO ENCAPSULADO LM;UN;1328,52;
5000000658;RET CONJ MEDICAO ENCAPSULADO LM;UN;1062,47;
5000000658;INST MEDIDOR ELETRONICO LM;UN;118,15;
5000000658;RET MEDIDOR ELETRONICO LM;UN;82,71;
5000000658;INST RAMAL DE CONEXAO CONC/MULTIPLEX SRD;UN;136,96;
5000000658;RET RAMAL DE CONEXAO CONC/MULTIPLEX SRD;UN;95,86;
5000000658;INST KIT INSTALAC INTERNA RESIDENCIAL LM;UN;461,62;
5000000658;INST CAIXA MEDICAO/PROTECAO NO POSTE LM;UN;156,21;
5000000658;RET CAIXA MEDICAO/PROTECAO NO POSTE LM;UN;109,35;
5000000658;INST CAIXA MEDICAO C/ SIST CP PAREDE LM;UN;269,98;
5000000658;RET CAIXA MEDICAO C/ SIST CP PAREDE LM;UN;188,99;
5000000658;INST PADRAO ENTRADA COMPLETO LM;UN;269,98;
5000000658;INST PADRAO ENTRADA PARCIAL LM;UN;156,21;
5000000658;INST CONEXAO RAMAL DE CONEXAO SRD;UN;20,79;
5000000658;RET CONEXAO RAMAL DE CONEXAO SRD;UN;15,57;
5000000658;TENSIONAR RAMAL DE CONEXAO LM;UN;45,08;
5000000658;INST ILUMINACAO PUBLICA LM;UN;598,01;
5000000658;RET ILUMINACAO PUBLICA LM;UN;283,53;
5000000658;INST CONEXAO ILUMINACAO PUBLICA LM;UN;104,57;
5000000658;RET CONEXAO ILUMINACAO PUBLICA LM;UN;65,98;
5000000658;INST/RET BIG JUMPER LM;UN;7815,13;
5000000658;GUARDA DE CONDUTOR BIG JUMPER LM;UN;1363,11;
5000000658;RET ESTR CP BCO REGULADOR POSTE LM;UN;3689,49;
5000000658;INST ESTR PRI 1F SUSP/PAS SP S/CRUZ LM;UN;324,2;
5000000658;INST CHAVE FUSIVEL 15/25KV LV;UN;388,62;
5000000658;RET CHAVE FUSIVEL 15/25KV LV;UN;345,72;
5000000658;INST CHAVE FUSIVEL 34,5KV LV;UN;388,62;
5000000658;RET CHAVE FUSIVEL 34,5KV LV;UN;345,72;
5000000658;INST CHAVE FACA LV;UN;388,62;
5000000658;RET CHAVE FACA LV;UN;345,72;
5000000658;TURMA LV INST CHAVE SECCION A SECO 3F LV;UN;609,03;
5000000658;TURMA LV RET CHAVE SECCION A SECO 3F LV;UN;390,76;
5000000658;INST CHAVE FUSIVEL RELIG LV;UN;609,03;
5000000658;RET CHAVE FUSIVEL RELIG LV;UN;390,76;
5000000658;INST ESTR CP CHAVE FUSIVEL RELIG 1F LV;UN;1461,45;
5000000658;RET ESTR CP CHAVE FUSIVEL RELIG 1F LV;UN;1023,07;
5000000658;INST ESTR CP CHAVE FUSIVEL RELIG 2/3F LV;UN;2216,1;
5000000658;RET ESTR CP CHAVE FUSIVEL RELIG 2/3F LV;UN;1469,28;
5000000658;INST CHAVE BY-PASS LV;UN;609,03;
5000000658;RET CHAVE BY-PASS LV;UN;390,76;
5000000658;INST SENSOR FALTA LV;UN;150,6;
5000000658;RET SENSOR FALTA LV;UN;105,99;
5000000658;INST ESTR CP SENSOR FALTA POSTE LV;UN;2076,21;
5000000658;RET ESTR CP SENSOR FALTA POSTE LV;UN;1297,83;
5000000658;INST RELIGADOR 1F POSTE LV;UN;1040,04;
5000000658;RET RELIGADOR 1F POSTE LV;UN;798,15;
5000000658;INST ESTR CP RELIGADOR 1F POSTE LV;UN;2385,1;
5000000658;RET ESTR CP RELIGADOR 1F POSTE LV;UN;1739,69;
5000000658;INST RELIGADOR DIST 1F BASE C LV;UN;705,87;
5000000658;RET RELIGADOR DIST 1F BASE C LV;UN;591,29;
5000000658;INST ESTR CP RELIG DIST 1F BASE C 1F LV;UN;1428,54;
5000000658;RET ESTR CP RELIG DIST 1F BASE C 1F LV;UN;1198,91;
5000000658;TURMA LV INST RELIGADOR/SECCIONAD 3F LV;UN;1665,53;
5000000658;TURMA LV RET RELIGADOR/SECCIONAD 3F LV;UN;1295,38;
5000000658;INST ESTR CP RELIGADOR/SECCIONADOR 3F LV;UN;2520,32;
5000000658;RET ESTR CP RELIGADOR/SECCIONADOR 3F LV;UN;1974,68;
5000000658;INST ESTR CP BCO REGULADOR POSTE LV;UN;3397,99;
5000000658;TURMA LV INST TRAFO DT LV;UN;838,19;
5000000658;TURMA LV RET TRAFO DT LV;UN;642,81;
5000000658;INST TRANSFORMADOR POTENCIAL (TP) LV;UN;482,5;
5000000658;RET TRANSFORMADOR POTENCIAL (TP) LV;UN;300,08;
5000000658;TURMA LV INST POSTE RELIGADOR/SECION LV;UN;1295,38;
5000000658;TURMA LV RET POSTE RELIGADOR/SECION LV;UN;1110,36;
5000000658;TURMA LV INST POSTE CHAVE SEC SECO 3F LV;UN;1295,38;
5000000658;TURMA LV RET POSTE CHAVE SEC SECO 3F LV;UN;1110,36;
5000000658;TURMA LV INST POSTE REGULADOR TENSAO LV;UN;1295,38;
5000000658;TURMA LV RET POSTE REGULADOR TENSAO LV;UN;1110,36;
5000000658;TURMA LV INST POSTE BCO CAPACITOR LV;UN;1295,38;
5000000658;TURMA LV RET POSTE BCO CAPACITOR LV;UN;1110,36;
5000000658;TURMA LV INST POSTE TRAFO LV;UN;1295,38;
5000000658;TURMA LV RET POSTE TRAFO LV;UN;1110,36;
5000000658;INST ESTAI AEREO LV;UN;555,18;
5000000658;RET ESTAI AEREO LV;UN;366,42;
5000000658;TENSIONAR ESTAI LV;UN;456,55;
5000000658;APRUMAR POSTE CONC/FIBRA LV;UN;600,25;
5000000658;INST COND NU COBRE > 50MM² LV;UN;9,14;
5000000658;RET COND NU COBRE > 50MM² LV;UN;5,8;
5000000658;INST COND NU COBRE <= 50MM² LV;UN;9,32;
5000000658;RET COND NU COBRE <= 50MM² LV;UN;3,93;
5000000658;INST COND NU ALUMINIO > 1/0 LV;UN;12,69;
5000000658;RET COND NU ALUMINIO > 1/0 LV;UN;8,96;
5000000658;INST COND NU ALUMINIO <= 1/0 LV;UN;9,32;
5000000658;RET COND NU ALUMINIO <= 1/0 LV;UN;7,28;
5000000658;TENSIONAR COND NU ALUMINIO/COBRE LV;UN;340,87;
5000000658;INST EMENDA COND NU AL/CU LV;UN;370,15;
5000000658;INST CONECTOR EM CONDUTOR LV;UN;276,85;
5000000658;RET CONECTOR EM CONDUTOR LV;UN;175,15;
5000000658;INST JUMPER EM CONDUTOR LV;UN;443,39;
5000000658;RET JUMPER EM CONDUTOR LV;UN;310,35;
5000000658;INST PASSAGEM DE NEUTRO LV;UN;550,71;
5000000658;RET PASSAGEM DE NEUTRO LV;UN;385,45;
5000000658;INST AMARRACAO COND NU/MULTIP/PROTEG LV;UN;324,04;
5000000658;INST FLY TAP/CRUZAM AEREO COND NU LV;UN;522,71;
5000000658;RET FLY TAP /CRUZAM AEREO COND NU LV;UN;336,11;
5000000658;INST ESPACADOR/AFASTADOR REDE PRI/SEC LV;UN;160,28;
5000000658;RET ESPACADOR/AFASTADOR REDE PRI/SEC LV;UN;110,61;
5000000658;INST ESTRIBO OU GRAMPO LINHA VIVA RD LV;UN;276,85;
